,NumUniqueAdresses
2010-03-06 18:15:05,187.0
2010-03-07 18:15:05,177.0
2010-03-08 18:15:05,143.0
2010-03-09 18:15:05,149.0
2010-03-10 18:15:05,153.0
2010-03-11 18:15:05,155.0
2010-03-12 18:15:05,119.0
2010-03-13 18:15:05,160.0
2010-03-14 18:15:05,127.0
2010-03-15 18:15:05,131.0
2010-03-16 18:15:05,138.0
2010-03-17 18:15:05,127.0
2010-03-18 18:15:05,163.0
2010-03-19 18:15:05,140.0
2010-03-20 18:15:05,204.0
2010-03-21 18:15:05,191.0
2010-03-22 18:15:05,184.0
2010-03-23 18:15:05,212.0
2010-03-24 18:15:05,183.0
2010-03-25 18:15:05,196.0
2010-03-26 18:15:05,204.0
2010-03-27 18:15:05,183.0
2010-03-28 18:15:05,197.0
2010-03-29 18:15:05,199.0
2010-03-30 18:15:05,214.0
2010-03-31 18:15:05,209.0
2010-04-01 18:15:05,195.0
2010-04-02 18:15:05,152.0
2010-04-03 18:15:05,173.0
2010-04-04 18:15:05,172.0
2010-04-05 18:15:05,176.0
2010-04-06 18:15:05,175.0
2010-04-07 18:15:05,203.0
2010-04-08 18:15:05,209.0
2010-04-09 18:15:05,190.0
2010-04-10 18:15:05,302.0
2010-04-11 18:15:05,269.0
2010-04-12 18:15:05,259.0
2010-04-13 18:15:05,182.0
2010-04-14 18:15:05,233.0
2010-04-15 18:15:05,277.0
2010-04-16 18:15:05,231.0
2010-04-17 18:15:05,236.0
2010-04-18 18:15:05,1346.0
2010-04-19 18:15:05,2286.0
2010-04-20 18:15:05,234.0
2010-04-21 18:15:05,241.0
2010-04-22 18:15:05,207.0
2010-04-23 18:15:05,192.0
2010-04-24 18:15:05,184.0
2010-04-25 18:15:05,196.0
2010-04-26 18:15:05,211.0
2010-04-27 18:15:05,216.0
2010-04-28 18:15:05,212.0
2010-04-29 18:15:05,188.0
2010-04-30 18:15:05,179.0
2010-05-01 18:15:05,181.0
2010-05-02 18:15:05,190.0
2010-05-03 18:15:05,178.0
2010-05-04 18:15:05,148.0
2010-05-05 18:15:05,171.0
2010-05-06 18:15:05,166.0
2010-05-07 18:15:05,153.0
2010-05-08 18:15:05,163.0
2010-05-09 18:15:05,186.0
2010-05-10 18:15:05,154.0
2010-05-11 18:15:05,134.0
2010-05-12 18:15:05,133.0
2010-05-13 18:15:05,152.0
2010-05-14 18:15:05,146.0
2010-05-15 18:15:05,131.0
2010-05-16 18:15:05,110.0
2010-05-17 18:15:05,158.0
2010-05-18 18:15:05,204.0
2010-05-19 18:15:05,208.0
2010-05-20 18:15:05,213.0
2010-05-21 18:15:05,217.0
2010-05-22 18:15:05,217.0
2010-05-23 18:15:05,299.0
2010-05-24 18:15:05,250.0
2010-05-25 18:15:05,258.0
2010-05-26 18:15:05,255.0
2010-05-27 18:15:05,253.0
2010-05-28 18:15:05,258.0
2010-05-29 18:15:05,258.0
2010-05-30 18:15:05,197.0
2010-05-31 18:15:05,205.0
2010-06-01 18:15:05,165.0
2010-06-02 18:15:05,178.0
2010-06-03 18:15:05,218.0
2010-06-04 18:15:05,190.0
2010-06-05 18:15:05,177.0
2010-06-06 18:15:05,192.0
2010-06-07 18:15:05,201.0
2010-06-08 18:15:05,219.0
2010-06-09 18:15:05,205.0
2010-06-10 18:15:05,218.0
2010-06-11 18:15:05,252.0
2010-06-12 18:15:05,218.0
2010-06-13 18:15:05,216.0
2010-06-14 18:15:05,244.0
2010-06-15 18:15:05,298.0
2010-06-16 18:15:05,196.0
2010-06-17 18:15:05,210.0
2010-06-18 18:15:05,187.0
2010-06-19 18:15:05,214.0
2010-06-20 18:15:05,219.0
2010-06-21 18:15:05,254.0
2010-06-22 18:15:05,250.0
2010-06-23 18:15:05,256.0
2010-06-24 18:15:05,251.0
2010-06-25 18:15:05,227.0
2010-06-26 18:15:05,198.0
2010-06-27 18:15:05,197.0
2010-06-28 18:15:05,217.0
2010-06-29 18:15:05,235.0
2010-06-30 18:15:05,274.0
2010-07-01 18:15:05,257.0
2010-07-02 18:15:05,223.0
2010-07-03 18:15:05,256.0
2010-07-04 18:15:05,223.0
2010-07-05 18:15:05,215.0
2010-07-06 18:15:05,209.0
2010-07-07 18:15:05,215.0
2010-07-08 18:15:05,236.0
2010-07-09 18:15:05,262.0
2010-07-10 18:15:05,237.0
2010-07-11 18:15:05,240.0
2010-07-12 18:15:05,2822.0
2010-07-13 18:15:05,2122.0
2010-07-14 18:15:05,6109.0
2010-07-15 18:15:05,2015.0
2010-07-16 18:15:05,1683.0
2010-07-17 18:15:05,548.0
2010-07-18 18:15:05,549.0
2010-07-19 18:15:05,606.0
2010-07-20 18:15:05,757.0
2010-07-21 18:15:05,536.0
2010-07-22 18:15:05,498.0
2010-07-23 18:15:05,464.0
2010-07-24 18:15:05,450.0
2010-07-25 18:15:05,2173.0
2010-07-26 18:15:05,522.0
2010-07-27 18:15:05,551.0
2010-07-28 18:15:05,413.0
2010-07-29 18:15:05,393.0
2010-07-30 18:15:05,420.0
2010-07-31 18:15:05,348.0
2010-08-01 18:15:05,373.0
2010-08-02 18:15:05,456.0
2010-08-03 18:15:05,668.0
2010-08-04 18:15:05,421.0
2010-08-05 18:15:05,787.0
2010-08-06 18:15:05,418.0
2010-08-07 18:15:05,334.0
2010-08-08 18:15:05,365.0
2010-08-09 18:15:05,461.0
2010-08-10 18:15:05,467.0
2010-08-11 18:15:05,425.0
2010-08-12 18:15:05,462.0
2010-08-13 18:15:05,600.0
2010-08-14 18:15:05,450.0
2010-08-15 18:15:05,402.0
2010-08-16 18:15:05,387.0
2010-08-17 18:15:05,393.0
2010-08-18 18:15:05,449.0
2010-08-19 18:15:05,395.0
2010-08-20 18:15:05,433.0
2010-08-21 18:15:05,396.0
2010-08-22 18:15:05,358.0
2010-08-23 18:15:05,431.0
2010-08-24 18:15:05,393.0
2010-08-25 18:15:05,414.0
2010-08-26 18:15:05,391.0
2010-08-27 18:15:05,316.0
2010-08-28 18:15:05,393.0
2010-08-29 18:15:05,300.0
2010-08-30 18:15:05,335.0
2010-08-31 18:15:05,462.0
2010-09-01 18:15:05,459.0
2010-09-02 18:15:05,340.0
