"Date","seasonal","trend","remainder"
15654,21.7100883370146,15581.3737980223,50.9161136406419
15655,21.7302297768719,15581.3768084073,51.8929618158763
15656,22.5399370166274,15581.382082617,52.0779803664045
15657,22.5623128830997,15581.3873568267,53.050330290218
15658,22.5852745191657,15581.3912616026,54.0234638782786
15659,22.6054386196739,15581.3951663784,54.9993950018961
15660,23.4982236601665,15581.3919599834,55.109816356462
15661,23.5372837424206,15581.3887535883,56.0739626692684
15662,23.5769323322919,15581.3810287054,57.0420389623068
15663,23.61380623053,15581.3733038225,58.0128899469764
15664,24.6126607380927,15581.3713802793,58.0159589826562
15665,24.637415715127,15581.369456736,58.9931275488634
15666,24.662761937802,15581.3703750104,59.9668630517626
15667,24.6853563127683,15581.3712932849,60.9433504023709
15668,25.5808149160183,15581.3744867194,61.0446983645415
15669,25.6055670677096,15581.377680154,62.0167527782705
15670,25.6309132030649,15581.3809112888,62.9881755081296
15671,25.6535303346362,15581.3841424236,63.9623272417739
15672,26.6417827666101,15581.3864076102,63.9718096231827
15673,26.6695676205468,15581.3886727968,64.9417595826289
15674,26.6979491961708,15581.3905254439,65.9115253598993
15675,26.7236246119355,15581.392378091,66.8839972970272
15676,27.6186386258492,15581.3938723321,66.9874890420033
15677,27.6464206544428,15581.3953665733,67.958212772297
15678,27.6748021427472,15581.3965833809,68.9286144763373
15679,27.7005003151169,15581.3978001886,69.9016994963094
15680,28.586281526243,15581.3988000687,70.014918405077
15681,28.6253274817818,15581.3997999488,70.9748725694299
15682,28.6649756350549,15581.4006059603,71.9344184046258
15683,28.7019633163179,15581.4014119719,72.8966247118296
15684,29.5513816315944,15581.4020495849,73.0465687834785
15685,29.5904247617902,15581.402687198,74.0068880402068
15686,29.6300728277436,15581.4031907254,74.9667364468714
15687,29.6670832656116,15581.4036942528,75.9292224816236
15688,30.6077347710777,15581.4040962513,75.9881689776266
15689,30.6467750759305,15581.4044982498,76.9487266742417
15690,30.6864230545642,15581.4047960297,77.908780915719
15691,30.7234562490373,15581.4050938096,78.8714499413563
15692,31.7016090644523,15581.4052713858,78.893119549708
15693,31.740646543962,15581.4054489621,79.8539044939625
15694,31.7802944352761,15581.4055585519,80.8141470127939
15695,31.8173503863541,15581.4056681418,81.7769814718631
15696,32.6207078327753,15582.5528988263,80.8263933409362
15697,32.6597424869419,15583.7001295108,80.6401280022637
15698,32.6993902909364,15617.1199896068,48.1806201022591
15699,32.7364689986194,15650.5398497028,15.7236812985666
15700,33.5321372763515,15665.6811189596,0.786743764036146
15701,33.571169105175,15680.8223882164,-13.3935573215858
15702,33.6108168218499,15705.984670979,-37.5954878008451
15703,33.6479182861379,15731.1469537416,-61.7948720277163
15704,34.5277313143389,15732.378532013,-62.9062633273043
15705,34.5667603178194,15733.6101102844,-63.1768706021703
15706,34.6064079471747,15735.3683498566,-63.9747578037768
15707,34.6435321680677,15737.1265894289,-64.7701215969228
15708,-30.0529615021084,15739.6007472995,-1.54778579741833
15709,-31.8126634723879,15742.0749051702,-1.26224169781017
15710,-31.7733820622198,15744.5331509016,-2.7597688393671
15711,-31.7337490150389,15746.991396633,-4.25764761793653
15712,-31.6988083801163,15749.265646157,-5.56683777690159
15713,-33.6585043490701,15751.5398956811,-4.88139133199184
15714,-33.6192257249908,15753.3882901144,-5.76906438944388
15715,-33.579592144139,15755.2366845478,-6.65709240366959
15716,-33.544626347249,15756.3703484087,-6.82572206141958
15717,-35.4937351466397,15757.5040122695,-5.01027712289215
15718,-35.4544593086492,15758.1926563442,-4.73819703551817
15719,-35.4148251941267,15758.8813004188,-4.46647522467538
15720,-35.3798342352693,15760.1315673758,-4.75173314055428
15721,-37.3336362935761,15761.3818343328,-3.04819803926875
15722,-37.2943632416745,15761.8846349735,-2.59027173181494
15723,-37.2547285934812,15762.3874356141,-2.13270702065347
15724,-37.2197124726564,15762.971330375,-1.75161790230959
15725,-39.0155826949675,15763.5552251358,0.460357559168187
15726,-38.9763124291548,15763.6275681442,1.34874428492003
