,TotalBitcoins
2010-04-09 18:15:05,2489300.0
2010-04-10 18:15:05,2501300.0
2010-04-11 18:15:05,2513250.0
2010-04-12 18:15:05,2524100.0
2010-04-13 18:15:05,2532350.0
2010-04-14 18:15:05,2542350.0
2010-04-15 18:15:05,2552650.0
2010-04-16 18:15:05,2562750.0
2010-04-17 18:15:05,2573250.0
2010-04-18 18:15:05,2586500.0
2010-04-19 18:15:05,2597350.0
2010-04-20 18:15:05,2607600.0
2010-04-21 18:15:05,2618650.0
2010-04-22 18:15:05,2627500.0
2010-04-23 18:15:05,2635000.0
2010-04-24 18:15:05,2642350.0
2010-04-25 18:15:05,2650800.0
2010-04-26 18:15:05,2659300.0
2010-04-27 18:15:05,2667800.0
2010-04-28 18:15:05,2676550.0
2010-04-29 18:15:05,2684500.0
2010-04-30 18:15:05,2692150.0
2010-05-01 18:15:05,2700300.0
2010-05-02 18:15:05,2708800.0
2010-05-03 18:15:05,2716800.0
2010-05-04 18:15:05,2723300.0
2010-05-05 18:15:05,2730600.0
2010-05-06 18:15:05,2738150.0
2010-05-07 18:15:05,2744700.0
2010-05-08 18:15:05,2752100.0
2010-05-09 18:15:05,2759200.0
2010-05-10 18:15:05,2766050.0
2010-05-11 18:15:05,2771800.0
2010-05-12 18:15:05,2777850.0
2010-05-13 18:15:05,2784350.0
2010-05-14 18:15:05,2790350.0
2010-05-15 18:15:05,2795650.0
2010-05-16 18:15:05,2800450.0
2010-05-17 18:15:05,2807650.0
2010-05-18 18:15:05,2816050.0
2010-05-19 18:15:05,2824150.0
2010-05-20 18:15:05,2833300.0
2010-05-21 18:15:05,2842550.0
2010-05-22 18:15:05,2852150.0
2010-05-23 18:15:05,2862900.0
2010-05-24 18:15:05,2872400.0
2010-05-25 18:15:05,2883150.0
2010-05-26 18:15:05,2893750.0
2010-05-27 18:15:05,2903500.0
2010-05-28 18:15:05,2914450.0
2010-05-29 18:15:05,2924300.0
2010-05-30 18:15:05,2931850.0
2010-05-31 18:15:05,2939450.0
2010-06-01 18:15:05,2946100.0
2010-06-02 18:15:05,2952750.0
2010-06-03 18:15:05,2960600.0
2010-06-04 18:15:05,2967250.0
2010-06-05 18:15:05,2974200.0
2010-06-06 18:15:05,2981750.0
2010-06-07 18:15:05,2989550.0
2010-06-08 18:15:05,2997450.0
2010-06-09 18:15:05,3005550.0
2010-06-10 18:15:05,3013900.0
2010-06-11 18:15:05,3022300.0
2010-06-12 18:15:05,3029150.0
2010-06-13 18:15:05,3037200.0
2010-06-14 18:15:05,3044800.0
2010-06-15 18:15:05,3054600.0
2010-06-16 18:15:05,3061950.0
2010-06-17 18:15:05,3069100.0
2010-06-18 18:15:05,3076500.0
2010-06-19 18:15:05,3084400.0
2010-06-20 18:15:05,3093050.0
2010-06-21 18:15:05,3101150.0
2010-06-22 18:15:05,3109050.0
2010-06-23 18:15:05,3117600.0
2010-06-24 18:15:05,3126700.0
2010-06-25 18:15:05,3134300.0
2010-06-26 18:15:05,3142450.0
2010-06-27 18:15:05,3150400.0
2010-06-28 18:15:05,3158550.0
2010-06-29 18:15:05,3166600.0
2010-06-30 18:15:05,3175800.0
2010-07-01 18:15:05,3186200.0
2010-07-02 18:15:05,3194950.0
2010-07-03 18:15:05,3204950.0
2010-07-04 18:15:05,3214250.0
2010-07-05 18:15:05,3223050.0
2010-07-06 18:15:05,3231450.0
2010-07-07 18:15:05,3239150.0
2010-07-08 18:15:05,3247050.0
2010-07-09 18:15:05,3256500.0
2010-07-10 18:15:05,3266250.0
2010-07-11 18:15:05,3275100.0
2010-07-12 18:15:05,3300750.0
2010-07-13 18:15:05,3337950.0
2010-07-14 18:15:05,3366650.0
2010-07-15 18:15:05,3397850.0
2010-07-16 18:15:05,3427750.0
2010-07-17 18:15:05,3436900.0
2010-07-18 18:15:05,3445850.0
2010-07-19 18:15:05,3454050.0
2010-07-20 18:15:05,3462950.0
2010-07-21 18:15:05,3473050.0
2010-07-22 18:15:05,3482400.0
2010-07-23 18:15:05,3492100.0
2010-07-24 18:15:05,3501350.0
2010-07-25 18:15:05,3512050.0
2010-07-26 18:15:05,3525050.0
2010-07-27 18:15:05,3533800.0
2010-07-28 18:15:05,3541900.0
2010-07-29 18:15:05,3550650.0
2010-07-30 18:15:05,3559750.0
2010-07-31 18:15:05,3569200.0
2010-08-01 18:15:05,3580250.0
2010-08-02 18:15:05,3592950.0
2010-08-03 18:15:05,3604350.0
2010-08-04 18:15:05,3615750.0
2010-08-05 18:15:05,3627950.0
2010-08-06 18:15:05,3636000.0
2010-08-07 18:15:05,3643100.0
2010-08-08 18:15:05,3652700.0
2010-08-09 18:15:05,3662150.0
2010-08-10 18:15:05,3672500.0
2010-08-11 18:15:05,3683350.0
2010-08-12 18:15:05,3694250.0
2010-08-13 18:15:05,3705100.0
2010-08-14 18:15:05,3718150.0
2010-08-15 18:15:05,3731900.0
2010-08-16 18:15:05,3737700.0
2010-08-17 18:15:05,3744250.0
2010-08-18 18:15:05,3750900.0
2010-08-19 18:15:05,3757900.0
2010-08-20 18:15:05,3766250.0
2010-08-21 18:15:05,3775450.0
2010-08-22 18:15:05,3785400.0
2010-08-23 18:15:05,3796250.0
2010-08-24 18:15:05,3806500.0
2010-08-25 18:15:05,3817850.0
2010-08-26 18:15:05,3828250.0
2010-08-27 18:15:05,3837150.0
2010-08-28 18:15:05,3846100.0
2010-08-29 18:15:05,3854000.0
2010-08-30 18:15:05,3861450.0
2010-08-31 18:15:05,3870200.0
2010-09-01 18:15:05,3879000.0
2010-09-02 18:15:05,3886550.0
2010-09-03 18:15:05,3894550.0
2010-09-04 18:15:05,3903500.0
2010-09-05 18:15:05,3911600.0
2010-09-06 18:15:05,3920050.0
2010-09-07 18:15:05,3927600.0
2010-09-08 18:15:05,3935200.0
2010-09-09 18:15:05,3942750.0
2010-09-10 18:15:05,3951300.0
2010-09-11 18:15:05,3959400.0
2010-09-12 18:15:05,3968550.0
2010-09-13 18:15:05,3976750.0
2010-09-14 18:15:05,3986500.0
2010-09-15 18:15:05,3995900.0
2010-09-16 18:15:05,4005400.0
2010-09-17 18:15:05,4016200.0
2010-09-18 18:15:05,4028050.0
2010-09-19 18:15:05,4038550.0
2010-09-20 18:15:05,4049100.0
2010-09-21 18:15:05,4057950.0
2010-09-22 18:15:05,4066600.0
2010-09-23 18:15:05,4077200.0
2010-09-24 18:15:05,4089500.0
2010-09-25 18:15:05,4099600.0
2010-09-26 18:15:05,4109450.0
2010-09-27 18:15:05,4121350.0
2010-09-28 18:15:05,4132150.0
2010-09-29 18:15:05,4141000.0
2010-09-30 18:15:05,4148050.0
2010-10-01 18:15:05,4155850.0
2010-10-02 18:15:05,4161300.0
2010-10-03 18:15:05,4167350.0
2010-10-04 18:15:05,4175050.0
2010-10-05 18:15:05,4181200.0
2010-10-06 18:15:05,4188800.0
2010-10-07 18:15:05,4197450.0
2010-10-08 18:15:05,4205200.0
2010-10-09 18:15:05,4212850.0
2010-10-10 18:15:05,4221450.0
2010-10-11 18:15:05,4229700.0
2010-10-12 18:15:05,4237700.0
2010-10-13 18:15:05,4246150.0
2010-10-14 18:15:05,4255750.0
2010-10-15 18:15:05,4265000.0
2010-10-16 18:15:05,4276950.0
2010-10-17 18:15:05,4291050.0
2010-10-18 18:15:05,4304100.0
2010-10-19 18:15:05,4316250.0
2010-10-20 18:15:05,4327950.0
2010-10-21 18:15:05,4339600.0
2010-10-22 18:15:05,4347250.0
2010-10-23 18:15:05,4355950.0
2010-10-24 18:15:05,4365400.0
2010-10-25 18:15:05,4375900.0
2010-10-26 18:15:05,4388000.0
2010-10-27 18:15:05,4398600.0
2010-10-28 18:15:05,4409350.0
2010-10-29 18:15:05,4421100.0
2010-10-30 18:15:05,4433100.0
2010-10-31 18:15:05,4442200.0
2010-11-01 18:15:05,4451600.0
2010-11-02 18:15:05,4460000.0
2010-11-03 18:15:05,4470050.0
2010-11-04 18:15:05,4479600.0
2010-11-05 18:15:05,4490550.0
2010-11-06 18:15:05,4500650.0
2010-11-07 18:15:05,4513050.0
2010-11-08 18:15:05,4526100.0
2010-11-09 18:15:05,4538100.0
2010-11-10 18:15:05,4547750.0
2010-11-11 18:15:05,4559350.0
2010-11-12 18:15:05,4567900.0
2010-11-13 18:15:05,4578850.0
2010-11-14 18:15:05,4590750.0
2010-11-15 18:15:05,4601800.0
2010-11-16 18:15:05,4610850.0
2010-11-17 18:15:05,4623350.0
2010-11-18 18:15:05,4636500.0
2010-11-19 18:15:05,4644800.0
2010-11-20 18:15:05,4650550.0
2010-11-21 18:15:05,4657300.0
2010-11-22 18:15:05,4665300.0
2010-11-23 18:15:05,4672500.0
2010-11-24 18:15:05,4681750.0
2010-11-25 18:15:05,4689350.0
2010-11-26 18:15:05,4699500.0
2010-11-27 18:15:05,4708650.0
2010-11-28 18:15:05,4716950.0
2010-11-29 18:15:05,4727550.0
2010-11-30 18:15:05,4738050.0
2010-12-01 18:15:05,4746900.0
2010-12-02 18:15:05,4756550.0
2010-12-03 18:15:05,4766150.0
2010-12-04 18:15:05,4777100.0
2010-12-05 18:15:05,4789000.0
2010-12-06 18:15:05,4801000.0
2010-12-07 18:15:05,4812650.0
2010-12-08 18:15:05,4824200.0
2010-12-09 18:15:05,4836700.0
2010-12-10 18:15:05,4844200.0
2010-12-11 18:15:05,4852800.0
2010-12-12 18:15:05,4861500.0
2010-12-13 18:15:05,4869100.0
2010-12-14 18:15:05,4877250.0
2010-12-15 18:15:05,4886200.0
2010-12-16 18:15:05,4895500.0
2010-12-17 18:15:05,4904150.0
2010-12-18 18:15:05,4912050.0
2010-12-19 18:15:05,4921250.0
2010-12-20 18:15:05,4929200.0
2010-12-21 18:15:05,4939050.0
2010-12-22 18:15:05,4946950.0
2010-12-23 18:15:05,4954100.0
2010-12-24 18:15:05,4961600.0
2010-12-25 18:15:05,4969700.0
2010-12-26 18:15:05,4977050.0
2010-12-27 18:15:05,4985100.0
2010-12-28 18:15:05,4993550.0
2010-12-29 18:15:05,5002150.0
2010-12-30 18:15:05,5010150.0
2010-12-31 18:15:05,5018350.0
2011-01-01 18:15:05,5027250.0
2011-01-02 18:15:05,5036250.0
2011-01-03 18:15:05,5044450.0
2011-01-04 18:15:05,5051550.0
2011-01-05 18:15:05,5059050.0
2011-01-06 18:15:05,5066400.0
2011-01-07 18:15:05,5073600.0
2011-01-08 18:15:05,5083200.0
2011-01-09 18:15:05,5090800.0
2011-01-10 18:15:05,5099150.0
2011-01-11 18:15:05,5107250.0
2011-01-12 18:15:05,5115600.0
2011-01-13 18:15:05,5124850.0
2011-01-14 18:15:05,5133550.0
2011-01-15 18:15:05,5142150.0
2011-01-16 18:15:05,5150800.0
2011-01-17 18:15:05,5159450.0
