,NumTransactionsExcluding100
2011-09-27,5508.0
2011-09-28,5482.0
2011-09-29,5427.0
2011-09-30,5490.0
2011-10-01,5319.0
2011-10-02,4858.0
2011-10-03,5340.0
2011-10-04,4793.0
2011-10-05,5616.0
2011-10-06,5391.0
2011-10-07,5007.0
2011-10-08,4699.0
2011-10-09,4424.0
2011-10-10,5151.0
2011-10-11,5112.0
2011-10-12,5503.0
2011-10-13,4351.0
2011-10-14,4937.0
2011-10-15,5346.0
2011-10-16,4598.0
2011-10-17,5304.0
2011-10-18,5000.0
2011-10-19,4810.0
2011-10-20,4251.0
2011-10-21,4958.0
2011-10-22,4564.0
2011-10-23,5239.0
2011-10-24,5614.0
2011-10-25,5179.0
2011-10-26,5307.0
2011-10-27,4608.0
2011-10-28,4919.0
2011-10-29,5600.0
2011-10-30,4888.0
2011-10-31,4956.0
2011-11-01,5747.0
2011-11-02,5630.0
2011-11-03,5508.0
2011-11-04,6522.0
2011-11-05,6575.0
2011-11-06,5021.0
2011-11-07,5329.0
2011-11-08,5616.0
2011-11-09,6222.0
2011-11-10,5888.0
2011-11-11,5439.0
2011-11-12,5346.0
2011-11-13,4875.0
2011-11-14,5503.0
2011-11-15,6338.0
2011-11-16,5706.0
2011-11-17,5596.0
2011-11-18,4604.0
2011-11-19,4330.0
2011-11-20,4664.0
2011-11-21,4940.0
2011-11-22,5218.0
2011-11-23,5380.0
2011-11-24,4767.0
2011-11-25,4687.0
2011-11-26,4799.0
2011-11-27,4680.0
2011-11-28,5778.0
2011-11-29,6183.0
2011-11-30,5618.0
2011-12-01,6377.0
2011-12-02,5779.0
2011-12-03,5018.0
2011-12-04,5170.0
2011-12-05,5866.0
2011-12-06,6302.0
2011-12-07,6229.0
2011-12-08,5653.0
2011-12-09,5585.0
2011-12-10,5242.0
2011-12-11,5020.0
2011-12-12,4663.0
2011-12-13,5001.0
2011-12-14,4477.0
2011-12-15,5065.0
2011-12-16,5219.0
2011-12-17,4683.0
2011-12-18,4615.0
2011-12-19,5200.0
2011-12-20,6200.0
2011-12-21,5147.0
2011-12-22,5514.0
2011-12-23,5451.0
2011-12-24,4503.0
2011-12-25,5307.0
2011-12-26,5381.0
